date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:54	23565/23565	---M-Z	200	added ('OK')	text/html	etag:%225c0d-6273bb46cb720-gzip%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/index.html	(from )
00:49:54	276/276	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Aug%202025%2019:19:57%20GMT	https://up2client.com/robots.txt		(from )
00:49:54	5501/5501	---M--	200	added ('OK')	image/png	etag:%22157d-6273bc1b080df%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/favicon/icon.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/favicon/icon.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:55	96526/96526	---M-Z	200	added ('OK')	text/css	etag:%221790e-6273bb7484135-gzip%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/all.min.css	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/all.min.css	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:55	1893/1893	---M-Z	200	added ('OK')	text/css	etag:%22765-6273bb756899f-gzip%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/slick.css	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/slick.css	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:55	232807/232807	---M-Z	200	added ('OK')	text/css	etag:%2238d67-6273bb7483195-gzip%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/bootstrap.min.css	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:55	6032/6032	---M-Z	200	added ('OK')	text/css	etag:%221790-6273bb7504fcd-gzip%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/cursor.css	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/cursor.css	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:56	25768/25768	---M-Z	200	added ('OK')	text/css	etag:%2264a8-6273bb75725e1-gzip%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/style.css	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/style.css	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:56	876/876	---M-Z	200	added ('OK')	text/css	etag:%2236c-6273bb750402c-gzip%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/media-query.css	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/css/media-query.css	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:56	3250/3250	---M--	200	added ('OK')	image/png	etag:%22cb2-6273bc1ce0bbe%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/hero-sec/shape.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/hero-sec/shape.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:56	955/955	---M--	200	added ('OK')	image/svg+xml	etag:%223bb-6273bb7a4f8a7%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/svg/logo.svg	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/svg/logo.svg	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:57	1671/1671	---M--	200	added ('OK')	image/svg+xml	etag:%22687-6273bb79efd55%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/svg/language-icon.svg	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/svg/language-icon.svg	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:57	584/584	---M--	200	added ('OK')	image/png	etag:%22248-6273bc1b0afbf%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag1.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag1.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:57	174/174	---M--	200	added ('OK')	image/png	etag:%22ae-6273bc1b3cca9%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag2.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag2.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:57	788/788	---M--	200	added ('OK')	image/png	etag:%22314-6273bc1b6e993%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag3.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag3.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:57	293/293	---M--	200	added ('OK')	image/png	etag:%22125-6273bc1ba25be%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag4.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag4.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:58	165/165	---M--	200	added ('OK')	image/png	etag:%22a5-6273bc1b9f6dd%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag5.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag5.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:58	544/544	---M--	200	added ('OK')	image/png	etag:%22220-6273bc1bce4e7%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag6.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag6.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:58	170/170	---M--	200	added ('OK')	image/png	etag:%22aa-6273bc1bd90c9%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag7.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag7.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:58	400/400	---M--	200	added ('OK')	image/png	etag:%22190-6273bc1bfd2f0%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag8.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag8.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:59	280/280	---M--	200	added ('OK')	image/png	etag:%22118-6273bc1c10b74%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag9.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag9.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
00:49:59	355/355	---M--	200	added ('OK')	image/png	etag:%22163-6273bc1b69b73%22	https://up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag10.png	C:/My%20Web%20Sites/Education/up2client.com/envato/digi-vcard/html/main-file/Education/assets/images/flag/flag10.png	(from https://up2client.com/envato/digi-vcard/html/main-file/Education/index.html)
